index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
541,14-15,27,Bayer 04 Leverkusen,Hamburger SV,4,0,2,0,25,4,108.5,110.44,394,395,284,272,110,123,0.72,0.69,0.5,0.5,0.55,0.45,10,17,16,8,3,2,7,2
542,14-15,27,VfL Wolfsburg,VfB Stuttgart,3,1,1,1,23,13,112.82,116.17,562,328,463,218,99,110,0.82,0.66,0.63,0.37,0.59,0.41,14,16,15,14,2,0,8,7
543,14-15,27,TSG Hoffenheim,Bor. Mönchengladbach,1,4,1,3,22,12,117.76,118.3,424,680,337,580,87,100,0.79,0.85,0.39,0.61,0.49,0.51,14,9,9,14,3,0,5,3
544,14-15,27,Werder Bremen,1. FSV Mainz 05,0,0,0,0,15,15,113.3,111.97,390,409,252,290,138,119,0.65,0.71,0.49,0.51,0.51,0.49,23,16,16,23,0,7,3,2
545,14-15,27,Eintracht Frankfurt,Hannover 96,2,2,1,0,14,15,113.46,115.31,312,507,203,398,109,109,0.65,0.79,0.37,0.63,0.51,0.49,17,25,25,17,4,5,4,9
546,14-15,27,SC Freiburg,1. FC Köln,1,0,1,0,11,19,122.58,117.28,390,476,275,373,115,103,0.71,0.78,0.45,0.55,0.49,0.51,8,16,15,7,2,2,5,7
547,14-15,27,Borussia Dortmund,Bayern München,0,1,0,1,15,6,117.95,116.4,544,554,397,433,147,121,0.73,0.78,0.5,0.5,0.53,0.47,16,19,18,14,5,4,2,1
548,14-15,27,FC Augsburg,FC Schalke 04,0,0,0,0,21,18,108.95,107.01,298,392,208,285,90,107,0.7,0.73,0.44,0.56,0.47,0.53,22,23,23,21,1,0,4,4
549,14-15,27,Hertha BSC,SC Paderborn 07,2,0,0,0,12,8,117.38,117.89,456,424,359,333,97,91,0.79,0.79,0.52,0.48,0.51,0.49,18,19,18,17,0,0,3,2
550,14-15,28,Hannover 96,Hertha BSC,1,1,0,0,11,9,114.61,115.3,522,322,425,227,97,95,0.81,0.7,0.62,0.38,0.48,0.52,18,10,10,18,1,2,10,2
551,14-15,28,Bayern München,Eintracht Frankfurt,3,0,1,0,19,4,110.95,112.45,731,425,659,343,72,82,0.9,0.81,0.63,0.37,0.56,0.44,14,18,17,12,3,2,3,0
552,14-15,28,FC Schalke 04,SC Freiburg,0,0,0,0,21,10,117.52,121.68,556,274,463,182,93,92,0.83,0.66,0.67,0.33,0.58,0.42,15,20,20,15,1,0,8,6
553,14-15,28,Bor. Mönchengladbach,Borussia Dortmund,3,1,2,0,12,18,119.23,118.87,548,630,452,538,96,92,0.82,0.85,0.46,0.54,0.48,0.52,10,6,6,10,1,1,6,6
554,14-15,28,1. FSV Mainz 05,Bayer 04 Leverkusen,2,3,0,1,8,9,115.67,118.43,483,335,363,207,120,128,0.75,0.62,0.6,0.4,0.52,0.48,17,22,21,16,3,2,4,2
555,14-15,28,SC Paderborn 07,FC Augsburg,2,1,0,0,14,16,119.46,114.19,293,519,201,405,92,114,0.69,0.78,0.37,0.63,0.49,0.51,14,21,21,14,1,1,6,7
556,14-15,28,Hamburger SV,VfL Wolfsburg,0,2,0,1,5,15,115.83,113.8,402,457,299,341,103,116,0.74,0.75,0.47,0.53,0.43,0.57,17,10,10,17,5,2,3,5
557,14-15,28,1. FC Köln,TSG Hoffenheim,3,2,1,0,18,24,112.21,113.79,316,518,224,423,92,95,0.71,0.82,0.38,0.62,0.5,0.5,15,21,19,15,2,1,3,3
558,14-15,28,VfB Stuttgart,Werder Bremen,3,2,1,0,15,12,111.66,113.31,344,418,225,303,119,115,0.65,0.72,0.46,0.54,0.5,0.5,13,14,13,13,1,4,9,3
559,14-15,29,Eintracht Frankfurt,Bor. Mönchengladbach,0,0,0,0,18,11,119.1,114.27,429,515,336,417,93,98,0.78,0.81,0.46,0.54,0.47,0.53,17,13,13,17,2,3,8,5
560,14-15,29,Borussia Dortmund,SC Paderborn 07,3,0,0,0,22,2,110.32,112.26,519,377,405,265,114,112,0.78,0.7,0.58,0.42,0.52,0.48,14,7,6,14,3,2,5,3
561,14-15,29,Bayer 04 Leverkusen,Hannover 96,4,0,2,0,25,5,104.23,102.03,390,344,264,226,126,118,0.68,0.66,0.54,0.46,0.57,0.43,14,23,21,14,2,4,11,0
562,14-15,29,TSG Hoffenheim,Bayern München,0,2,0,1,8,21,117.47,113.77,306,696,240,613,66,83,0.78,0.88,0.3,0.7,0.5,0.5,16,21,21,16,5,0,1,10
563,14-15,29,Hertha BSC,1. FC Köln,0,0,0,0,10,7,114.56,113.6,478,501,401,416,77,85,0.84,0.83,0.49,0.51,0.52,0.48,9,14,14,9,1,2,8,11
564,14-15,29,SC Freiburg,1. FSV Mainz 05,2,3,0,2,25,12,117.54,118.5,485,309,383,199,102,110,0.79,0.64,0.61,0.39,0.47,0.53,15,9,9,15,4,1,10,5
565,14-15,29,FC Augsburg,VfB Stuttgart,2,1,1,1,12,16,115.44,117.1,485,352,379,250,106,102,0.78,0.71,0.57,0.43,0.49,0.51,21,16,16,20,6,1,2,6
566,14-15,29,Werder Bremen,Hamburger SV,1,0,0,0,11,8,110.16,112.94,379,309,263,198,116,111,0.69,0.64,0.55,0.45,0.47,0.53,12,22,18,12,4,4,3,0
567,14-15,29,VfL Wolfsburg,FC Schalke 04,1,1,0,0,26,7,113.19,116.48,437,402,346,300,91,102,0.79,0.75,0.53,0.47,0.5,0.5,17,19,19,17,1,1,7,1
568,14-15,30,1. FSV Mainz 05,FC Schalke 04,2,0,2,0,11,18,122.33,118.68,391,606,289,501,102,105,0.74,0.83,0.39,0.61,0.39,0.61,10,11,9,10,2,2,4,6
569,14-15,30,Borussia Dortmund,Eintracht Frankfurt,2,0,2,0,13,11,116.19,113.59,396,597,282,471,114,126,0.71,0.79,0.4,0.6,0.43,0.57,22,12,10,20,4,2,2,2
570,14-15,30,Hannover 96,TSG Hoffenheim,1,2,1,1,12,13,113.81,115.14,348,367,211,231,137,136,0.61,0.63,0.5,0.5,0.5,0.5,24,19,18,24,3,2,2,6
571,14-15,30,VfB Stuttgart,SC Freiburg,2,2,2,0,11,14,113.85,115.88,299,429,210,339,89,90,0.7,0.79,0.41,0.59,0.47,0.53,17,16,15,17,2,4,4,6
572,14-15,30,Hamburger SV,FC Augsburg,3,2,2,1,15,14,120.65,114.77,321,534,203,410,118,124,0.63,0.77,0.37,0.63,0.46,0.54,16,20,19,15,1,3,2,4
573,14-15,30,1. FC Köln,Bayer 04 Leverkusen,1,1,0,0,14,9,113.39,115.22,370,409,255,295,115,114,0.69,0.72,0.48,0.52,0.45,0.55,14,16,14,14,0,4,5,4
574,14-15,30,Bayern München,Hertha BSC,1,0,0,0,16,8,114.14,120.02,857,225,778,145,79,80,0.91,0.64,0.79,0.21,0.46,0.54,13,7,7,13,2,1,5,2
575,14-15,30,SC Paderborn 07,Werder Bremen,2,2,2,1,20,13,111.48,110.14,253,409,170,322,83,87,0.67,0.79,0.39,0.61,0.54,0.46,22,28,28,22,4,2,14,6
576,14-15,30,Bor. Mönchengladbach,VfL Wolfsburg,1,0,0,0,19,9,114.1,115.27,644,425,554,346,90,79,0.86,0.81,0.6,0.4,0.56,0.44,9,14,13,9,0,0,4,5
577,14-15,31,FC Schalke 04,VfB Stuttgart,3,2,1,1,21,15,116.68,118.29,579,303,489,200,90,103,0.84,0.66,0.65,0.35,0.46,0.54,14,14,14,14,2,3,5,4
578,14-15,31,VfL Wolfsburg,Hannover 96,2,2,2,0,20,14,111.73,118.27,557,331,460,226,97,105,0.83,0.68,0.63,0.37,0.55,0.45,9,15,14,7,2,2,5,5
579,14-15,31,FC Augsburg,1. FC Köln,0,0,0,0,16,6,111.54,112.78,584,343,479,237,105,106,0.82,0.69,0.63,0.37,0.55,0.45,11,16,15,9,1,1,8,5
580,14-15,31,TSG Hoffenheim,Borussia Dortmund,1,1,1,1,15,11,113.21,113.58,406,410,296,288,110,122,0.73,0.7,0.5,0.5,0.52,0.48,15,19,19,14,4,6,8,5
581,14-15,31,Werder Bremen,Eintracht Frankfurt,1,0,0,0,16,15,113.89,113.79,304,434,184,309,120,125,0.61,0.71,0.41,0.59,0.53,0.47,22,15,14,18,6,2,10,5
582,14-15,31,SC Freiburg,SC Paderborn 07,1,2,1,0,15,14,117.2,118.23,490,296,361,184,129,112,0.74,0.62,0.62,0.38,0.51,0.49,10,12,12,10,1,0,8,6
583,14-15,31,Bayer 04 Leverkusen,Bayern München,2,0,0,0,20,9,112.92,107.67,378,514,275,423,103,91,0.73,0.82,0.43,0.57,0.5,0.5,26,15,13,25,4,0,11,4
584,14-15,31,1. FSV Mainz 05,Hamburger SV,1,2,0,1,9,13,110.96,114.45,512,318,398,213,114,105,0.78,0.67,0.62,0.38,0.45,0.55,12,13,12,12,0,1,8,2
585,14-15,31,Hertha BSC,Bor. Mönchengladbach,1,2,1,1,10,18,118.42,115.44,301,807,202,727,99,80,0.67,0.9,0.27,0.73,0.46,0.54,15,10,10,13,1,3,3,3
586,14-15,32,Hamburger SV,SC Freiburg,1,1,0,1,16,15,120.74,120.68,430,351,318,232,112,119,0.74,0.66,0.55,0.45,0.48,0.52,16,16,15,16,2,2,5,6
587,14-15,32,Bayern München,FC Augsburg,0,1,0,0,16,12,102.65,113.45,690,271,595,198,95,73,0.86,0.73,0.71,0.29,0.52,0.48,13,15,14,12,2,8,4,5
588,14-15,32,Borussia Dortmund,Hertha BSC,2,0,1,0,14,3,116.55,115.67,454,513,356,401,98,112,0.78,0.78,0.47,0.53,0.43,0.57,16,11,11,16,1,3,7,3
589,14-15,32,Bor. Mönchengladbach,Bayer 04 Leverkusen,3,0,0,0,10,18,107.69,109.8,411,446,306,334,105,112,0.74,0.75,0.48,0.52,0.55,0.45,15,15,13,13,2,2,6,10
590,14-15,32,Hannover 96,Werder Bremen,1,1,1,0,12,9,107.48,105.35,345,289,223,175,122,114,0.65,0.61,0.55,0.45,0.53,0.47,16,19,16,16,6,3,8,1
591,14-15,32,Eintracht Frankfurt,TSG Hoffenheim,3,1,3,0,13,8,110.59,112.25,348,513,228,380,120,133,0.66,0.74,0.41,0.59,0.54,0.46,21,25,25,21,3,1,1,1
592,14-15,32,VfB Stuttgart,1. FSV Mainz 05,2,0,0,0,18,7,114.05,113.92,382,393,271,272,111,121,0.71,0.69,0.5,0.5,0.58,0.42,16,19,19,16,0,3,7,2
593,14-15,32,SC Paderborn 07,VfL Wolfsburg,1,3,0,2,16,10,114.52,111.53,453,432,350,330,103,102,0.77,0.76,0.52,0.48,0.52,0.48,9,18,16,8,1,1,11,3
594,14-15,32,1. FC Köln,FC Schalke 04,2,0,1,0,13,5,117.11,115.43,369,581,273,482,96,99,0.74,0.83,0.39,0.61,0.49,0.51,10,16,16,10,4,1,5,6
595,14-15,33,FC Schalke 04,SC Paderborn 07,1,0,0,0,19,22,115.23,118.47,457,336,335,232,122,104,0.73,0.69,0.58,0.42,0.51,0.49,14,14,14,14,2,1,10,9
596,14-15,33,Bayer 04 Leverkusen,TSG Hoffenheim,2,0,1,0,13,16,113.21,111.94,429,325,289,188,140,137,0.67,0.58,0.56,0.44,0.52,0.48,20,15,14,19,7,3,4,9
597,14-15,33,VfL Wolfsburg,Borussia Dortmund,2,1,1,1,12,18,115.18,116.73,465,513,353,409,112,104,0.76,0.8,0.48,0.52,0.56,0.44,11,12,12,11,6,3,6,5
598,14-15,33,1. FSV Mainz 05,1. FC Köln,2,0,0,0,18,12,121.61,118.31,518,418,403,297,115,121,0.78,0.71,0.56,0.44,0.55,0.45,15,14,14,13,0,2,2,5
599,14-15,33,FC Augsburg,Hannover 96,1,2,1,1,8,8,109.04,113.25,541,266,446,161,95,105,0.82,0.61,0.67,0.33,0.43,0.57,20,18,18,20,4,1,3,4
600,14-15,33,Hertha BSC,Eintracht Frankfurt,0,0,0,0,9,1,109.58,107.44,292,491,184,382,108,109,0.63,0.78,0.38,0.62,0.53,0.47,20,26,22,19,3,1,4,4
601,14-15,33,Werder Bremen,Bor. Mönchengladbach,0,2,0,0,19,14,117.91,115.0,337,724,237,614,100,110,0.7,0.85,0.32,0.68,0.46,0.54,13,7,7,13,0,2,5,4
602,14-15,33,SC Freiburg,Bayern München,2,1,1,1,9,19,111.92,105.83,207,744,134,682,73,62,0.65,0.92,0.22,0.78,0.5,0.5,16,15,15,16,3,0,2,10
603,14-15,33,VfB Stuttgart,Hamburger SV,2,1,2,1,22,7,109.57,114.06,402,352,304,242,98,110,0.76,0.69,0.54,0.46,0.52,0.48,10,21,19,10,2,0,9,2
604,14-15,34,Bayern München,1. FSV Mainz 05,2,0,1,0,20,7,113.81,117.54,836,285,732,187,104,98,0.88,0.66,0.74,0.26,0.44,0.56,11,11,10,11,1,2,5,3
605,14-15,34,Borussia Dortmund,Werder Bremen,3,2,3,1,23,8,121.19,119.14,660,342,527,225,133,117,0.8,0.66,0.66,0.34,0.51,0.49,10,3,3,10,0,3,9,1
606,14-15,34,Bor. Mönchengladbach,FC Augsburg,1,3,1,0,10,15,114.94,116.01,424,561,340,482,84,79,0.8,0.86,0.42,0.58,0.54,0.46,13,17,17,12,2,2,1,6
607,14-15,34,TSG Hoffenheim,Hertha BSC,2,1,1,0,16,4,105.78,107.81,680,259,607,170,73,89,0.89,0.66,0.71,0.29,0.54,0.46,14,18,18,14,2,3,1,2
608,14-15,34,Hannover 96,SC Freiburg,2,1,1,0,11,10,117.38,115.86,335,459,225,346,110,113,0.67,0.75,0.43,0.57,0.54,0.46,17,15,15,17,0,3,3,5
609,14-15,34,Eintracht Frankfurt,Bayer 04 Leverkusen,2,1,2,1,8,18,110.91,113.15,349,490,233,391,116,99,0.67,0.8,0.42,0.58,0.52,0.48,20,14,13,20,4,3,3,8
610,14-15,34,Hamburger SV,FC Schalke 04,2,0,0,0,10,12,109.64,107.0,419,367,312,260,107,107,0.74,0.71,0.54,0.46,0.54,0.46,15,18,18,14,5,2,3,6
611,14-15,34,1. FC Köln,VfL Wolfsburg,2,2,1,2,12,15,116.72,114.61,355,625,273,549,82,76,0.77,0.88,0.36,0.64,0.42,0.58,14,11,8,14,1,2,4,8
612,14-15,34,SC Paderborn 07,VfB Stuttgart,1,2,1,1,15,18,115.85,111.14,409,362,286,248,123,114,0.7,0.69,0.52,0.48,0.51,0.49,12,18,18,12,2,1,2,8
613,15-16,1,Bayern München,Hamburger SV,5,0,1,0,23,5,108.54,111.28,771,236,692,152,79,84,0.9,0.64,0.77,0.23,0.52,0.48,10,12,12,10,3,0,7,0
614,15-16,1,Bayer 04 Leverkusen,TSG Hoffenheim,2,1,1,1,25,6,116.05,115.85,396,300,295,173,101,127,0.74,0.58,0.58,0.42,0.59,0.41,12,18,17,12,2,1,13,5
615,15-16,1,FC Augsburg,Hertha BSC,0,1,0,0,20,11,106.49,111.25,393,430,309,360,84,70,0.79,0.84,0.48,0.52,0.53,0.47,20,22,21,20,1,1,7,4
616,15-16,1,Werder Bremen,FC Schalke 04,0,3,0,1,15,16,107.74,108.19,444,321,346,234,98,87,0.78,0.73,0.58,0.42,0.54,0.46,7,16,16,7,3,3,5,6
617,15-16,1,1. FSV Mainz 05,FC Ingolstadt 04,0,1,0,0,9,14,115.67,114.59,467,360,324,222,143,138,0.69,0.62,0.57,0.43,0.48,0.52,20,15,13,19,3,5,6,2
618,15-16,1,SV Darmstadt 98,Hannover 96,2,2,1,0,11,13,110.32,109.55,240,361,125,245,115,116,0.52,0.68,0.4,0.6,0.44,0.56,21,22,22,21,1,1,5,9
619,15-16,1,Borussia Dortmund,Bor. Mönchengladbach,4,0,3,0,18,5,111.86,111.51,703,478,626,392,77,86,0.89,0.82,0.59,0.41,0.52,0.48,13,14,13,13,6,0,3,5
620,15-16,1,VfL Wolfsburg,Eintracht Frankfurt,2,1,2,1,5,13,109.96,114.6,590,367,498,286,92,81,0.84,0.78,0.62,0.38,0.58,0.42,14,19,19,14,3,7,7,3
621,15-16,1,VfB Stuttgart,1. FC Köln,1,3,0,0,28,9,113.36,112.87,395,320,301,214,94,106,0.76,0.67,0.57,0.43,0.51,0.49,13,8,8,13,4,5,13,3
622,15-16,2,Hertha BSC,Werder Bremen,1,1,1,1,10,9,116.19,113.07,430,417,334,306,96,111,0.78,0.73,0.51,0.49,0.49,0.51,11,16,16,11,1,4,6,2
623,15-16,2,FC Schalke 04,SV Darmstadt 98,1,1,0,1,21,9,111.76,115.28,602,171,507,79,95,92,0.84,0.46,0.77,0.23,0.59,0.41,16,18,18,16,4,2,6,6
624,15-16,2,Eintracht Frankfurt,FC Augsburg,1,1,0,1,11,14,112.0,110.75,402,346,303,240,99,106,0.75,0.69,0.54,0.46,0.49,0.51,17,21,21,17,5,4,7,4
625,15-16,2,1. FC Köln,VfL Wolfsburg,1,1,1,0,9,15,118.84,113.13,266,624,180,522,86,102,0.68,0.84,0.3,0.7,0.46,0.54,15,11,11,15,2,0,2,4
626,15-16,2,Hannover 96,Bayer 04 Leverkusen,0,1,0,1,5,11,108.71,114.16,341,490,219,394,122,96,0.64,0.8,0.4,0.6,0.56,0.44,15,21,20,15,2,1,3,8
627,15-16,2,TSG Hoffenheim,Bayern München,1,2,1,1,8,21,116.53,110.1,222,608,126,516,96,92,0.57,0.85,0.27,0.73,0.42,0.58,18,17,15,17,1,6,5,6
628,15-16,2,Hamburger SV,VfB Stuttgart,3,2,1,2,14,12,112.73,110.6,430,336,293,198,137,138,0.68,0.59,0.56,0.44,0.54,0.46,18,22,21,17,1,2,0,5
629,15-16,2,FC Ingolstadt 04,Borussia Dortmund,0,4,0,0,3,18,110.07,109.33,296,556,170,428,126,128,0.57,0.77,0.34,0.66,0.45,0.55,18,16,14,17,4,3,1,4
630,15-16,2,Bor. Mönchengladbach,1. FSV Mainz 05,1,2,0,1,15,13,118.4,125.03,786,346,688,262,98,84,0.88,0.76,0.69,0.31,0.56,0.44,12,12,11,11,2,5,3,0
631,15-16,3,VfL Wolfsburg,FC Schalke 04,3,0,1,0,9,12,111.29,113.05,571,452,480,347,91,105,0.84,0.77,0.56,0.44,0.52,0.48,12,16,16,11,2,0,2,3
632,15-16,3,VfB Stuttgart,Eintracht Frankfurt,1,4,1,2,15,6,106.46,108.27,417,381,298,273,119,108,0.71,0.72,0.53,0.47,0.53,0.47,19,17,17,19,2,8,6,1
633,15-16,3,FC Augsburg,FC Ingolstadt 04,0,1,0,0,10,16,107.83,112.59,495,288,386,198,109,90,0.78,0.69,0.63,0.37,0.52,0.48,22,16,16,22,2,3,3,4
634,15-16,3,1. FC Köln,Hamburger SV,2,1,0,0,6,17,114.22,114.4,379,404,285,309,94,95,0.75,0.76,0.48,0.52,0.46,0.54,17,9,9,16,4,0,3,8
635,15-16,3,1. FSV Mainz 05,Hannover 96,3,0,2,0,18,11,113.07,108.91,405,449,317,365,88,84,0.78,0.81,0.48,0.52,0.53,0.47,9,13,12,7,4,3,8,5
636,15-16,3,SV Darmstadt 98,TSG Hoffenheim,0,0,0,0,5,15,107.94,106.47,203,471,98,375,105,96,0.48,0.8,0.3,0.7,0.49,0.51,13,16,16,11,2,3,4,6
637,15-16,3,Bayern München,Bayer 04 Leverkusen,3,0,1,0,14,10,106.9,111.04,552,288,475,199,77,89,0.86,0.69,0.66,0.34,0.49,0.51,12,14,12,12,1,3,7,5
638,15-16,3,Borussia Dortmund,Hertha BSC,3,1,1,0,15,4,108.9,109.43,573,351,485,247,88,104,0.85,0.7,0.61,0.39,0.58,0.42,16,12,11,15,4,1,5,1
639,15-16,3,Werder Bremen,Bor. Mönchengladbach,2,1,1,1,22,9,112.44,112.74,314,524,224,408,90,116,0.71,0.78,0.38,0.62,0.5,0.5,17,18,17,16,2,2,5,6
640,15-16,4,Bor. Mönchengladbach,Hamburger SV,0,3,0,2,13,10,119.84,118.68,623,489,550,414,73,75,0.88,0.85,0.56,0.44,0.41,0.59,17,19,19,17,1,3,5,2
641,15-16,4,Bayern München,FC Augsburg,2,1,0,1,28,3,110.09,113.33,814,202,735,125,79,77,0.9,0.62,0.8,0.2,0.48,0.52,12,11,11,10,1,3,9,0
642,15-16,4,Bayer 04 Leverkusen,SV Darmstadt 98,0,1,0,1,16,5,115.73,115.17,603,232,475,105,128,127,0.79,0.45,0.72,0.28,0.57,0.43,13,17,16,12,3,3,10,4
643,15-16,4,Hannover 96,Borussia Dortmund,2,4,1,2,5,17,111.5,110.0,251,623,168,536,83,87,0.67,0.86,0.29,0.71,0.47,0.53,15,16,16,14,2,3,2,4
644,15-16,4,Hertha BSC,VfB Stuttgart,2,1,2,1,9,11,116.09,115.35,427,410,312,308,115,102,0.73,0.75,0.5,0.5,0.48,0.52,18,21,21,18,2,3,5,7
645,15-16,4,FC Ingolstadt 04,VfL Wolfsburg,0,0,0,0,5,17,110.94,107.66,300,539,186,431,114,108,0.62,0.8,0.36,0.64,0.53,0.47,10,15,15,10,3,3,2,5
646,15-16,4,Eintracht Frankfurt,1. FC Köln,6,2,4,1,18,13,113.49,111.02,480,487,377,378,103,109,0.79,0.78,0.5,0.5,0.49,0.51,14,14,14,14,0,7,4,2
647,15-16,4,TSG Hoffenheim,Werder Bremen,1,3,0,1,10,16,111.8,110.86,500,326,373,202,127,124,0.75,0.62,0.61,0.39,0.43,0.57,13,22,20,13,3,5,7,3
648,15-16,4,FC Schalke 04,1. FSV Mainz 05,2,1,1,1,24,15,114.98,118.61,465,290,370,202,95,88,0.8,0.7,0.61,0.39,0.54,0.46,18,20,19,18,2,3,5,7
649,15-16,5,1. FSV Mainz 05,TSG Hoffenheim,3,1,1,1,12,13,119.93,116.47,487,350,346,224,141,126,0.71,0.64,0.58,0.42,0.47,0.53,13,14,12,13,3,2,6,8
650,15-16,5,VfL Wolfsburg,Hertha BSC,2,0,0,0,14,9,116.11,121.8,562,449,476,370,86,79,0.85,0.82,0.55,0.45,0.46,0.54,16,9,8,16,0,2,7,5
651,15-16,5,Hamburger SV,Eintracht Frankfurt,0,0,0,0,10,7,111.24,109.95,453,441,335,319,118,122,0.74,0.72,0.5,0.5,0.55,0.45,11,17,16,11,4,5,5,11
652,15-16,5,Werder Bremen,FC Ingolstadt 04,0,1,0,0,13,14,109.16,111.19,361,281,234,168,127,113,0.65,0.6,0.56,0.44,0.55,0.45,24,19,18,24,0,1,8,5
653,15-16,5,1. FC Köln,Bor. Mönchengladbach,1,0,0,0,11,9,121.73,122.43,449,684,368,597,81,87,0.82,0.87,0.4,0.6,0.52,0.48,10,16,15,10,3,1,2,2
654,15-16,5,SV Darmstadt 98,Bayern München,0,3,0,1,5,18,111.55,109.58,189,772,110,712,79,60,0.58,0.92,0.2,0.8,0.48,0.52,10,8,8,10,7,2,1,5
655,15-16,5,VfB Stuttgart,FC Schalke 04,0,1,0,0,26,10,112.78,115.42,434,374,324,251,110,123,0.75,0.67,0.54,0.46,0.49,0.51,11,18,16,10,2,1,6,5
656,15-16,5,Borussia Dortmund,Bayer 04 Leverkusen,3,0,1,0,22,8,114.0,113.01,545,401,424,280,121,121,0.78,0.7,0.58,0.42,0.6,0.4,10,17,17,9,1,3,3,1
657,15-16,5,FC Augsburg,Hannover 96,2,0,2,0,17,16,114.83,118.2,418,485,342,398,76,87,0.82,0.82,0.46,0.54,0.5,0.5,12,15,13,11,0,1,7,6
658,15-16,6,Bayern München,VfL Wolfsburg,5,1,0,1,18,7,116.32,113.37,773,447,692,366,81,81,0.9,0.82,0.63,0.37,0.57,0.43,11,12,12,10,3,1,5,1
659,15-16,6,Hertha BSC,1. FC Köln,2,0,1,0,16,13,122.18,119.84,477,451,366,355,111,96,0.77,0.79,0.52,0.48,0.45,0.55,12,14,14,12,0,3,6,1
660,15-16,6,FC Ingolstadt 04,Hamburger SV,0,1,0,0,12,8,110.77,114.96,347,404,233,280,114,124,0.67,0.69,0.46,0.54,0.44,0.56,15,16,16,14,3,0,8,5
661,15-16,6,SV Darmstadt 98,Werder Bremen,2,1,1,1,9,12,111.4,109.87,258,376,146,247,112,129,0.57,0.66,0.42,0.58,0.38,0.62,20,19,17,19,1,1,5,1
662,15-16,6,FC Schalke 04,Eintracht Frankfurt,2,0,0,0,13,18,114.19,112.78,448,433,359,345,89,88,0.8,0.8,0.51,0.49,0.5,0.5,9,17,17,9,3,1,5,7
663,15-16,6,Bayer 04 Leverkusen,1. FSV Mainz 05,1,0,0,0,20,3,119.08,116.01,582,306,462,176,120,130,0.79,0.58,0.66,0.34,0.54,0.46,16,13,11,15,4,0,11,3
664,15-16,6,Bor. Mönchengladbach,FC Augsburg,4,2,4,0,21,13,118.45,114.92,484,496,400,402,84,94,0.83,0.81,0.49,0.51,0.5,0.5,20,21,21,20,3,1,6,2
665,15-16,6,Hannover 96,VfB Stuttgart,1,3,1,2,8,19,115.0,115.83,478,351,342,238,136,113,0.72,0.68,0.58,0.42,0.55,0.45,15,17,17,15,3,5,3,7
666,15-16,6,TSG Hoffenheim,Borussia Dortmund,1,1,1,0,10,14,118.33,115.59,293,675,192,559,101,116,0.66,0.83,0.31,0.69,0.41,0.59,15,13,12,15,2,3,5,4
667,15-16,7,1. FC Köln,FC Ingolstadt 04,1,1,1,1,15,16,114.02,118.43,482,334,387,228,95,106,0.8,0.68,0.6,0.4,0.52,0.48,14,16,15,14,2,1,8,4
668,15-16,7,VfL Wolfsburg,Hannover 96,1,1,1,0,23,9,115.99,123.64,683,322,603,228,80,94,0.88,0.71,0.68,0.32,0.48,0.52,11,9,8,11,1,3,9,0
669,15-16,7,VfB Stuttgart,Bor. Mönchengladbach,1,3,1,2,23,9,113.32,115.35,405,408,292,284,113,124,0.72,0.7,0.51,0.49,0.52,0.48,15,15,14,14,3,3,12,3
670,15-16,7,FC Augsburg,TSG Hoffenheim,1,3,1,1,26,11,108.6,114.9,539,279,429,178,110,101,0.8,0.64,0.67,0.33,0.52,0.48,8,9,9,7,4,2,7,3
671,15-16,7,Werder Bremen,Bayer 04 Leverkusen,0,3,0,1,9,17,108.88,110.87,288,515,163,389,125,126,0.57,0.76,0.37,0.63,0.51,0.49,13,15,14,13,4,7,2,6
672,15-16,7,1. FSV Mainz 05,Bayern München,0,3,0,0,6,17,118.88,112.26,301,738,203,667,98,71,0.67,0.9,0.3,0.7,0.43,0.57,17,11,11,17,2,4,3,4
673,15-16,7,Hamburger SV,FC Schalke 04,0,1,0,0,13,10,119.73,114.73,481,489,397,396,84,93,0.83,0.81,0.5,0.5,0.45,0.55,14,14,12,13,0,1,4,4
674,15-16,7,Eintracht Frankfurt,Hertha BSC,1,1,1,0,11,14,114.9,115.21,391,518,294,424,97,94,0.75,0.82,0.44,0.56,0.5,0.5,11,14,14,11,1,3,7,3
675,15-16,7,Borussia Dortmund,SV Darmstadt 98,2,2,0,1,15,4,110.15,112.52,777,235,671,133,106,102,0.86,0.57,0.77,0.23,0.49,0.51,16,13,12,16,4,2,9,0
676,15-16,8,SV Darmstadt 98,1. FSV Mainz 05,2,3,1,2,14,14,117.89,118.92,283,460,156,347,127,113,0.55,0.75,0.38,0.62,0.53,0.47,12,20,20,12,0,6,2,6
677,15-16,8,Bor. Mönchengladbach,VfL Wolfsburg,2,0,0,0,10,10,119.46,113.05,475,500,391,432,84,68,0.82,0.86,0.49,0.51,0.52,0.48,15,14,14,15,3,2,3,1
678,15-16,8,Hannover 96,Werder Bremen,1,0,0,0,12,19,113.46,113.31,311,441,204,322,107,119,0.66,0.73,0.41,0.59,0.46,0.54,17,11,11,17,4,2,7,6
