season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
14-15,13,Werder Bremen ,SC Paderborn 07 ,4,0,1,0,24,15,"115,88 km","113,37 km",419,358,317,240,102,118,76%,67%,54%,46%,45%,55%,18,18,18,18,4,1,9,6
14-15,13,TSG Hoffenheim ,Hannover 96 ,4,3,2,1,16,13,"119,15 km","113,68 km",314,516,208,398,106,118,66%,77%,38%,62%,55%,45%,14,27,23,13,1,1,5,3
14-15,13,VfL Wolfsburg ,Bor. Mönchengladbach ,1,0,1,0,23,10,"120,47 km","121,91 km",395,663,293,558,102,105,74%,84%,37%,63%,51%,49%,13,12,12,13,3,2,9,5
14-15,13,Eintracht Frankfurt ,Borussia Dortmund ,2,0,1,0,10,17,"115,46 km","119,57 km",419,497,287,358,132,139,68%,72%,46%,54%,49%,51%,15,22,21,15,2,4,1,8
14-15,14,Borussia Dortmund ,TSG Hoffenheim ,1,0,1,0,19,6,"119,26 km","119,34 km",509,441,362,307,147,134,71%,70%,53%,47%,52%,48%,20,12,12,18,6,3,8,3
14-15,14,Bor. Mönchengladbach ,Hertha BSC ,3,2,1,1,13,11,"115,96 km","117,42 km",575,467,496,380,79,87,86%,81%,55%,45%,47%,53%,17,17,14,17,3,3,4,3
14-15,14,Hannover 96 ,VfL Wolfsburg ,1,3,1,1,16,15,"116,17 km","114,43 km",450,424,322,303,128,121,72%,71%,51%,49%,51%,49%,14,18,18,13,2,2,11,9
14-15,14,VfB Stuttgart ,FC Schalke 04 ,0,4,0,3,13,13,"115,76 km","119,14 km",488,485,397,394,91,91,81%,81%,50%,50%,48%,52%,14,13,13,14,3,3,4,6
14-15,14,1. FC Köln ,FC Augsburg ,1,2,1,0,12,14,"119,85 km","116,52 km",336,643,234,523,102,120,70%,81%,34%,66%,47%,53%,10,13,12,10,0,3,5,9
14-15,14,SC Paderborn 07 ,SC Freiburg ,1,1,0,1,24,4,"118,44 km","116,59 km",550,299,442,182,108,117,80%,61%,65%,35%,65%,35%,15,26,24,13,0,1,6,1
14-15,14,Bayern München ,Bayer 04 Leverkusen ,1,0,0,0,9,3,"107,69 km","111,41 km",591,324,478,222,113,102,81%,69%,65%,35%,61%,39%,11,26,26,9,0,4,8,3
14-15,14,Hamburger SV ,1. FSV Mainz 05 ,2,1,1,0,19,15,"116,23 km","111,57 km",286,472,158,322,128,150,55%,68%,39%,61%,48%,52%,19,18,16,17,1,3,6,6
14-15,14,Eintracht Frankfurt ,Werder Bremen ,5,2,1,1,21,10,"112,8 km","116,27 km",390,329,289,216,101,113,74%,66%,55%,45%,46%,54%,17,13,13,17,2,5,9,2
14-15,15,TSG Hoffenheim ,Eintracht Frankfurt ,3,2,1,0,20,19,"121,97 km","117,6 km",391,420,274,289,117,131,70%,69%,48%,52%,54%,46%,16,19,18,14,3,3,4,6
14-15,15,FC Schalke 04 ,1. FC Köln ,1,2,0,0,15,6,"122,63 km","122,53 km",687,420,590,323,97,97,86%,77%,63%,37%,50%,50%,13,7,5,13,0,3,2,1
14-15,15,FC Augsburg ,Bayern München ,0,4,0,0,6,26,"115,31 km","114,97 km",272,743,179,656,93,87,66%,88%,27%,73%,41%,59%,17,13,13,17,3,1,1,7
14-15,15,Hertha BSC ,Borussia Dortmund ,1,0,1,0,5,18,"115,02 km","116,68 km",282,698,185,583,97,115,66%,84%,29%,71%,48%,52%,9,9,9,9,2,2,2,9
14-15,15,Werder Bremen ,Hannover 96 ,3,3,1,1,18,12,"119,16 km","117,15 km",377,433,254,316,123,117,67%,73%,47%,53%,45%,55%,18,26,24,18,0,1,10,10
14-15,15,SC Freiburg ,Hamburger SV ,0,0,0,0,11,12,"117,43 km","121,66 km",416,389,297,271,119,118,71%,70%,52%,48%,40%,60%,19,9,9,18,4,2,4,2
14-15,15,1. FSV Mainz 05 ,VfB Stuttgart ,1,1,1,0,22,8,"119,61 km","120,61 km",503,372,391,254,112,118,78%,68%,57%,43%,49%,51%,19,15,15,19,3,0,4,5
14-15,15,Bayer 04 Leverkusen ,Bor. Mönchengladbach ,1,1,1,1,22,7,"121,49 km","118,24 km",545,397,415,276,130,121,76%,70%,58%,42%,46%,54%,17,12,12,16,2,1,5,6
14-15,15,VfL Wolfsburg ,SC Paderborn 07 ,1,1,1,0,21,6,"120,28 km","124,9 km",669,289,553,191,116,98,83%,66%,71%,29%,54%,46%,15,17,17,15,4,0,11,1
14-15,16,Bayern München ,SC Freiburg ,2,0,1,0,31,2,"113,05 km","116,81 km",954,204,857,121,97,83,90%,59%,82%,18%,52%,48%,5,3,3,5,2,1,10,1
14-15,16,Hannover 96 ,FC Augsburg ,2,0,1,0,10,10,"122,27 km","117,13 km",495,455,370,327,125,128,75%,72%,52%,48%,49%,51%,18,17,17,17,6,3,8,5
14-15,16,Hamburger SV ,VfB Stuttgart ,0,1,0,1,8,16,"122,69 km","118,43 km",576,348,461,228,115,120,80%,66%,62%,38%,51%,49%,10,12,12,9,5,2,6,5
14-15,16,1. FC Köln ,1. FSV Mainz 05 ,0,0,0,0,11,13,"117,94 km","120,13 km",471,428,356,316,115,112,76%,74%,53%,47%,48%,52%,13,14,14,13,4,2,9,3
14-15,16,Borussia Dortmund ,VfL Wolfsburg ,2,2,1,1,17,10,"123,97 km","117,31 km",360,651,259,535,101,116,72%,82%,36%,64%,48%,52%,13,10,10,12,3,2,4,5
14-15,16,Bor. Mönchengladbach ,Werder Bremen ,4,1,2,0,9,8,"114,17 km","116,34 km",629,433,553,354,76,79,88%,82%,59%,41%,54%,46%,13,18,16,11,1,0,2,1
14-15,16,TSG Hoffenheim ,Bayer 04 Leverkusen ,0,1,0,0,9,18,"113,5 km","114,28 km",298,466,173,315,125,151,58%,68%,39%,61%,47%,53%,16,19,19,15,1,1,1,9
14-15,16,Eintracht Frankfurt ,Hertha BSC ,4,4,1,3,18,8,"119,16 km","117,9 km",607,237,501,136,106,101,83%,57%,72%,28%,49%,51%,14,19,19,13,1,1,5,4
14-15,16,SC Paderborn 07 ,FC Schalke 04 ,1,2,1,1,21,16,"119,38 km","118,17 km",390,400,276,287,114,113,71%,72%,49%,51%,59%,41%,9,22,22,9,5,1,5,7
14-15,17,1. FSV Mainz 05 ,Bayern München ,1,2,1,1,5,13,"119,28 km","112,73 km",289,656,212,564,77,92,73%,86%,31%,69%,50%,50%,16,18,17,16,4,3,4,10
14-15,17,FC Schalke 04 ,Hamburger SV ,0,0,0,0,17,15,"117,28 km","119,77 km",496,415,374,297,122,118,75%,72%,54%,46%,48%,52%,11,15,13,11,2,0,6,4
14-15,17,Bayer 04 Leverkusen ,Eintracht Frankfurt ,1,1,0,1,16,9,"118,48 km","114,39 km",425,346,285,193,140,153,67%,56%,55%,45%,53%,47%,18,20,20,17,8,7,4,1
14-15,17,FC Augsburg ,Bor. Mönchengladbach ,2,1,1,1,18,14,"119,48 km","122,92 km",502,495,426,407,76,88,85%,82%,50%,50%,55%,45%,15,11,11,14,5,0,4,7
14-15,17,Werder Bremen ,Borussia Dortmund ,2,1,1,0,12,14,"121,22 km","122,62 km",302,665,196,549,106,116,65%,83%,31%,69%,52%,48%,12,9,9,12,4,0,2,6
14-15,17,VfB Stuttgart ,SC Paderborn 07 ,0,0,0,0,11,16,"116,17 km","113,62 km",323,473,195,353,128,120,60%,75%,40%,60%,44%,56%,16,20,19,16,1,4,5,5
14-15,17,VfL Wolfsburg ,1. FC Köln ,2,1,1,1,14,10,"116,35 km","117,15 km",633,381,526,267,107,114,83%,70%,63%,37%,53%,47%,5,9,9,5,1,0,4,4
14-15,17,Hertha BSC ,TSG Hoffenheim ,0,5,0,3,8,15,"108,68 km","114,7 km",338,434,232,308,106,126,69%,71%,44%,56%,44%,56%,17,17,16,16,1,2,2,9
14-15,17,SC Freiburg ,Hannover 96 ,2,2,1,0,10,17,"117,97 km","118,38 km",361,519,223,390,138,129,62%,75%,41%,59%,45%,55%,12,14,13,11,3,2,6,5
14-15,18,VfL Wolfsburg ,Bayern München ,4,1,2,0,13,16,"118,42 km","114,81 km",313,685,226,586,87,99,72%,86%,32%,68%,50%,50%,13,15,15,13,1,4,1,5
14-15,18,FC Schalke 04 ,Hannover 96 ,1,0,1,0,15,12,"116,01 km","117,99 km",342,571,242,479,100,92,71%,84%,37%,63%,51%,49%,15,15,15,15,1,3,5,7
14-15,18,1. FSV Mainz 05 ,SC Paderborn 07 ,5,0,1,0,21,11,"117,69 km","117,26 km",432,411,317,281,115,130,73%,68%,52%,48%,48%,52%,14,16,16,14,1,2,9,4
14-15,18,SC Freiburg ,Eintracht Frankfurt ,4,1,0,1,15,12,"116,66 km","113,26 km",392,391,292,273,100,118,74%,70%,50%,50%,58%,42%,10,14,14,10,5,6,3,5
14-15,18,VfB Stuttgart ,Bor. Mönchengladbach ,0,1,0,0,12,10,"123,31 km","120,09 km",426,601,332,506,94,95,78%,84%,42%,58%,53%,47%,13,13,13,12,2,1,4,8
14-15,18,Hamburger SV ,1. FC Köln ,0,2,0,0,10,15,"124,24 km","119,8 km",421,481,295,353,126,128,70%,73%,47%,53%,44%,56%,17,11,10,17,1,3,3,3
14-15,18,Bayer 04 Leverkusen ,Borussia Dortmund ,0,0,0,0,8,10,"116,02 km","115,25 km",457,312,321,136,136,176,70%,44%,60%,40%,43%,57%,20,17,16,18,1,2,4,3
14-15,18,Werder Bremen ,Hertha BSC ,2,0,1,0,19,3,"118,22 km","112,97 km",442,375,330,251,112,124,75%,67%,54%,46%,50%,50%,16,26,26,14,1,4,6,3
14-15,18,FC Augsburg ,TSG Hoffenheim ,3,1,2,1,15,13,"109,67 km","112,76 km",377,321,270,200,107,121,72%,62%,55%,45%,56%,44%,20,28,28,18,3,1,4,7
14-15,19,Bayern München ,FC Schalke 04 ,1,1,0,0,10,8,"108,22 km","115,33 km",594,409,517,328,77,81,87%,80%,60%,40%,59%,41%,13,19,19,12,5,8,5,1
14-15,19,Bor. Mönchengladbach ,SC Freiburg ,1,0,1,0,11,15,"124,15 km","122,66 km",358,730,262,641,96,89,73%,88%,33%,67%,53%,47%,15,15,15,15,0,2,4,4
14-15,19,Hannover 96 ,1. FSV Mainz 05 ,1,1,1,0,9,18,"121,02 km","120,15 km",554,436,438,325,116,111,79%,75%,56%,44%,54%,46%,15,16,15,14,6,4,7,4
14-15,19,Eintracht Frankfurt ,VfL Wolfsburg ,1,1,0,0,11,9,"117,81 km","117,3 km",386,471,269,359,117,112,70%,76%,45%,55%,49%,51%,20,16,16,19,6,8,1,6
14-15,19,Borussia Dortmund ,FC Augsburg ,0,1,0,0,15,8,"122,18 km","117,23 km",507,471,367,335,140,136,72%,71%,52%,48%,47%,53%,12,11,11,12,5,4,4,1
14-15,19,TSG Hoffenheim ,Werder Bremen ,1,2,1,1,13,11,"118,84 km","119,29 km",550,289,437,168,113,121,79%,58%,66%,34%,55%,45%,13,30,30,13,4,1,7,1
14-15,19,Hertha BSC ,Bayer 04 Leverkusen ,0,1,0,0,2,9,"113,9 km","116,3 km",381,484,249,344,132,140,65%,71%,44%,56%,48%,52%,14,16,16,14,2,4,4,2
14-15,19,1. FC Köln ,VfB Stuttgart ,0,0,0,0,5,7,"117,38 km","121,86 km",468,543,368,442,100,101,79%,81%,46%,54%,60%,40%,10,10,9,10,5,3,2,4
14-15,19,SC Paderborn 07 ,Hamburger SV ,0,3,0,1,13,12,"118,38 km","123,56 km",510,304,401,189,109,115,79%,62%,62%,38%,54%,46%,11,18,18,10,4,1,5,5
14-15,20,FC Schalke 04 ,Bor. Mönchengladbach ,1,0,1,0,10,8,"122,38 km","120,01 km",324,726,228,643,96,83,70%,89%,31%,69%,54%,46%,17,15,15,17,4,1,5,3
14-15,20,VfL Wolfsburg ,TSG Hoffenheim ,3,0,2,0,9,16,"115,18 km","116,22 km",505,461,401,353,104,108,79%,77%,53%,47%,48%,52%,20,16,15,19,0,4,2,4
14-15,20,1. FSV Mainz 05 ,Hertha BSC ,0,2,0,2,12,11,"110,71 km","113,57 km",542,321,445,207,97,114,82%,64%,63%,37%,48%,52%,15,15,15,15,1,4,4,2
14-15,20,SC Freiburg ,Borussia Dortmund ,0,3,0,1,7,22,"116,92 km","117,13 km",471,400,317,264,154,136,67%,66%,54%,46%,47%,53%,11,12,11,10,1,3,3,5
14-15,20,VfB Stuttgart ,Bayern München ,0,2,0,1,4,8,"117,97 km","110,71 km",274,761,177,677,97,84,65%,89%,28%,72%,52%,48%,27,22,21,26,5,3,4,1
14-15,20,1. FC Köln ,SC Paderborn 07 ,0,0,0,0,18,9,"119,01 km","125,1 km",507,366,390,267,117,99,77%,73%,58%,42%,58%,42%,13,15,14,12,0,1,9,3
14-15,20,Hamburger SV ,Hannover 96 ,2,1,1,0,6,21,"128,95 km","123,43 km",292,657,161,541,131,116,55%,82%,31%,69%,48%,52%,21,11,10,20,3,1,3,10
14-15,20,Werder Bremen ,Bayer 04 Leverkusen ,2,1,2,1,7,14,"116,15 km","113,99 km",299,495,148,340,151,155,49%,69%,37%,63%,49%,51%,14,16,15,14,2,5,4,7
14-15,20,FC Augsburg ,Eintracht Frankfurt ,2,2,2,1,11,17,"112,33 km","114,07 km",344,416,218,302,126,114,63%,73%,45%,55%,48%,52%,20,20,19,19,3,2,3,3
14-15,21,Borussia Dortmund ,1. FSV Mainz 05 ,4,2,0,1,21,6,"118,74 km","117,42 km",518,415,401,298,117,117,77%,72%,55%,45%,49%,51%,15,13,12,14,5,4,7,3
14-15,21,Bayern München ,Hamburger SV ,8,0,3,0,25,7,"113,94 km","119,98 km",825,302,745,213,80,89,90%,71%,73%,27%,71%,29%,3,16,15,3,9,5,3,0
14-15,21,Bayer 04 Leverkusen ,VfL Wolfsburg ,4,5,0,3,15,13,"115,12 km","113,49 km",356,435,220,314,136,121,62%,72%,45%,55%,43%,57%,23,12,11,23,2,1,5,1
14-15,21,Bor. Mönchengladbach ,1. FC Köln ,1,0,0,0,20,14,"122,56 km","120,51 km",773,270,683,181,90,89,88%,67%,74%,26%,53%,47%,10,12,12,10,2,1,10,1
14-15,21,TSG Hoffenheim ,VfB Stuttgart ,2,1,1,1,21,7,"113,3 km","116,26 km",358,431,221,272,137,159,62%,63%,46%,54%,52%,48%,24,21,21,22,0,1,10,2
14-15,21,Werder Bremen ,FC Augsburg ,3,2,3,1,19,16,"116,84 km","111,53 km",313,444,193,312,120,132,62%,70%,41%,59%,48%,52%,21,15,14,19,0,2,5,10
14-15,21,Eintracht Frankfurt ,FC Schalke 04 ,1,0,0,0,8,8,"119,78 km","118,48 km",469,389,370,289,99,100,79%,74%,55%,45%,42%,58%,21,12,12,21,6,10,5,7
14-15,21,Hertha BSC ,SC Freiburg ,0,2,0,1,11,9,"120,93 km","120,88 km",476,353,351,229,125,124,74%,65%,58%,42%,53%,47%,20,15,15,20,2,4,2,1
14-15,21,Hannover 96 ,SC Paderborn 07 ,1,2,0,0,10,11,"120,39 km","121,54 km",676,310,550,198,126,112,81%,64%,69%,31%,50%,50%,16,12,10,15,3,1,7,1
14-15,22,VfB Stuttgart ,Borussia Dortmund ,2,3,1,2,7,13,"120,45 km","120,52 km",446,567,330,443,116,124,74%,78%,45%,55%,51%,49%,13,12,12,13,4,8,2,5
14-15,22,FC Schalke 04 ,Werder Bremen ,1,1,0,0,24,14,"114,27 km",117 km,392,329,278,212,114,117,71%,64%,55%,45%,48%,52%,13,12,11,12,2,1,7,1
14-15,22,1. FSV Mainz 05 ,Eintracht Frankfurt ,3,1,1,1,13,8,"116,51 km","111,49 km",392,445,275,326,117,119,70%,73%,47%,53%,50%,50%,14,18,18,14,4,3,6,1
14-15,22,FC Augsburg ,Bayer 04 Leverkusen ,2,2,0,1,16,18,"115,41 km","119,28 km",538,350,419,232,119,118,78%,66%,61%,39%,57%,43%,13,16,15,12,2,3,5,4
14-15,22,SC Freiburg ,TSG Hoffenheim ,1,1,1,1,10,15,"117,89 km","115,85 km",509,360,390,260,119,100,77%,72%,59%,41%,40%,60%,20,22,19,20,1,2,4,1
14-15,22,SC Paderborn 07 ,Bayern München ,0,6,0,2,13,17,"111,23 km","109,14 km",247,884,174,802,73,82,70%,91%,22%,78%,52%,48%,10,13,13,10,3,2,4,4
14-15,22,1. FC Köln ,Hannover 96 ,1,1,1,1,15,7,"116,32 km","119,87 km",379,532,247,417,132,115,65%,78%,42%,58%,50%,50%,13,20,19,13,2,2,2,5
14-15,22,Hamburger SV ,Bor. Mönchengladbach ,1,1,0,0,13,12,"121,05 km","118,62 km",445,573,339,459,106,114,76%,80%,44%,56%,52%,48%,14,11,11,13,1,2,4,5
14-15,22,VfL Wolfsburg ,Hertha BSC ,2,1,1,1,17,3,"119,23 km","123,5 km",741,344,653,243,88,101,88%,71%,68%,32%,57%,43%,10,14,14,10,2,4,6,3
14-15,23,Bayern München ,1. FC Köln ,4,1,2,1,24,9,"112,66 km","112,5 km",835,237,745,161,90,76,89%,68%,78%,22%,55%,45%,5,11,11,4,1,1,14,5
14-15,23,Borussia Dortmund ,FC Schalke 04 ,3,0,0,0,31,3,"109,76 km","106,41 km",563,318,461,216,102,102,82%,68%,64%,36%,53%,47%,13,13,12,13,3,1,9,5
14-15,23,Bayer 04 Leverkusen ,SC Freiburg ,1,0,1,0,11,3,"117,91 km","120,88 km",507,437,400,311,107,126,79%,71%,54%,46%,43%,57%,15,13,13,15,2,0,3,2
14-15,23,TSG Hoffenheim ,1. FSV Mainz 05 ,2,0,0,0,16,19,"121,29 km","117,68 km",514,419,380,290,134,129,74%,69%,54%,46%,55%,45%,12,12,11,11,3,1,6,9
14-15,23,Hannover 96 ,VfB Stuttgart ,1,1,0,0,17,9,"119,17 km","119,26 km",422,384,292,232,130,152,69%,60%,52%,48%,49%,51%,20,16,15,20,4,3,8,4
14-15,23,Hertha BSC ,FC Augsburg ,1,0,0,0,9,11,"118,11 km","111,21 km",320,471,219,367,101,104,68%,78%,40%,60%,50%,50%,22,17,17,21,4,1,4,5
14-15,23,Eintracht Frankfurt ,Hamburger SV ,2,1,1,1,19,9,"113,87 km","113,91 km",410,334,291,216,119,118,71%,65%,55%,45%,53%,47%,18,27,27,16,3,1,4,3
14-15,23,Bor. Mönchengladbach ,SC Paderborn 07 ,2,0,1,0,20,17,"119,31 km","119,43 km",533,440,452,356,81,84,85%,81%,54%,46%,53%,47%,8,15,13,8,1,5,11,8
14-15,23,Werder Bremen ,VfL Wolfsburg ,3,5,3,2,10,13,"117,29 km","114,62 km",341,481,230,399,111,82,67%,83%,42%,58%,40%,60%,21,15,13,20,2,5,6,3
14-15,24,VfB Stuttgart ,Hertha BSC ,0,0,0,0,14,7,"121,5 km","125,16 km",634,264,526,152,108,112,83%,58%,71%,29%,48%,52%,16,14,14,15,2,2,8,2
14-15,24,FC Schalke 04 ,TSG Hoffenheim ,3,1,2,0,14,18,"117,81 km","119,57 km",487,382,375,282,112,100,77%,74%,56%,44%,47%,53%,15,19,18,14,2,5,3,4
14-15,24,FC Augsburg ,VfL Wolfsburg ,1,0,0,0,12,10,"116,46 km","116,16 km",355,514,253,404,102,110,71%,79%,41%,59%,48%,52%,10,14,14,9,3,3,4,5
14-15,24,Hannover 96 ,Bayern München ,1,3,1,1,3,13,"114,98 km","107,61 km",224,838,148,752,76,86,66%,90%,22%,78%,45%,55%,12,7,7,12,3,0,2,3
14-15,24,SC Freiburg ,Werder Bremen ,0,1,0,1,14,16,"116,04 km","113,76 km",423,308,273,186,150,122,65%,60%,58%,42%,42%,58%,16,20,19,16,2,2,6,5
14-15,24,Hamburger SV ,Borussia Dortmund ,0,0,0,0,4,12,"113,57 km","108,84 km",256,545,117,403,139,142,46%,74%,32%,68%,48%,52%,23,12,12,23,1,6,1,7
14-15,24,1. FSV Mainz 05 ,Bor. Mönchengladbach ,2,2,0,1,23,6,"121,39 km","119,71 km",409,547,296,417,113,130,72%,76%,44%,56%,49%,51%,6,12,12,6,5,2,7,4
14-15,24,1. FC Köln ,Eintracht Frankfurt ,4,2,1,0,9,12,"111,17 km","107,02 km",263,451,173,336,90,115,66%,75%,36%,64%,53%,47%,18,15,14,17,2,3,4,10
14-15,24,SC Paderborn 07 ,Bayer 04 Leverkusen ,0,3,0,0,9,11,"116,14 km","113,05 km",333,490,186,352,147,138,56%,72%,41%,59%,53%,47%,15,17,17,15,2,1,9,8
14-15,25,Bayer 04 Leverkusen ,VfB Stuttgart ,4,0,2,0,11,9,"113,23 km","110,79 km",443,406,321,276,122,130,72%,68%,52%,48%,48%,52%,25,8,8,22,4,1,3,4
14-15,25,FC Augsburg ,1. FSV Mainz 05 ,0,2,0,1,13,12,"113,77 km","118,89 km",472,320,358,212,114,108,76%,66%,61%,39%,51%,49%,23,13,13,22,4,3,4,2
14-15,25,TSG Hoffenheim ,Hamburger SV ,3,0,1,0,19,10,"114,7 km","108,91 km",529,280,431,173,98,107,81%,62%,65%,35%,44%,56%,19,18,17,19,4,2,9,6
14-15,25,Hertha BSC ,FC Schalke 04 ,2,2,1,1,13,12,"120,64 km","114,78 km",295,651,193,537,102,114,65%,82%,32%,68%,45%,55%,18,16,16,18,3,2,3,5
14-15,25,Werder Bremen ,Bayern München ,0,4,0,2,6,13,"114,91 km","112,2 km",253,650,151,554,102,96,60%,85%,28%,72%,45%,55%,20,16,15,19,1,5,3,3
14-15,25,Eintracht Frankfurt ,SC Paderborn 07 ,4,0,2,0,11,8,"112,28 km","114,18 km",552,300,424,181,128,119,77%,60%,65%,35%,53%,47%,13,24,23,13,2,3,9,3
14-15,25,Borussia Dortmund ,1. FC Köln ,0,0,0,0,10,7,"119,59 km","119,66 km",722,331,581,213,141,118,80%,64%,69%,31%,45%,55%,14,8,5,13,0,3,5,2
14-15,25,VfL Wolfsburg ,SC Freiburg ,3,0,1,0,25,16,"115,48 km","116,96 km",460,436,390,339,70,97,85%,78%,52%,48%,54%,46%,9,14,14,9,1,2,5,5
14-15,25,Bor. Mönchengladbach ,Hannover 96 ,2,0,1,0,23,7,"122,55 km","125,08 km",713,419,641,339,72,80,90%,81%,63%,37%,55%,45%,14,15,15,14,5,2,2,5
14-15,26,Hamburger SV ,Hertha BSC ,0,1,0,0,13,9,"113,63 km","114,4 km",472,283,376,197,96,86,80%,70%,62%,38%,44%,56%,21,21,21,21,1,4,4,6
14-15,26,Hannover 96 ,Borussia Dortmund ,2,3,1,1,15,13,"114,15 km","117,03 km",504,441,382,325,122,116,76%,74%,54%,46%,55%,45%,13,21,20,12,2,2,8,4
14-15,26,SC Freiburg ,FC Augsburg ,2,0,0,0,15,17,"117,35 km","113,52 km",334,445,232,318,102,127,69%,71%,43%,57%,44%,56%,16,12,12,16,3,2,4,6
14-15,26,VfB Stuttgart ,Eintracht Frankfurt ,3,1,0,0,9,11,"116,2 km","110,23 km",342,434,211,287,131,147,62%,66%,44%,56%,44%,56%,17,11,10,16,1,2,2,9
14-15,26,1. FC Köln ,Werder Bremen ,1,1,0,1,16,11,"117,19 km","117,48 km",436,320,314,199,122,121,72%,62%,58%,42%,57%,43%,14,22,21,14,5,1,8,6
14-15,26,SC Paderborn 07 ,TSG Hoffenheim ,0,0,0,0,15,8,"115,43 km","112,44 km",415,451,321,349,94,102,77%,77%,49%,51%,51%,49%,19,19,18,19,1,0,9,4
14-15,26,FC Schalke 04 ,Bayer 04 Leverkusen ,0,1,0,1,13,16,"115,8 km","119,26 km",472,353,343,250,129,103,73%,71%,57%,43%,45%,55%,17,17,16,17,1,6,4,9
14-15,26,1. FSV Mainz 05 ,VfL Wolfsburg ,1,1,1,0,22,8,"116,64 km","115,13 km",349,508,227,386,122,122,65%,76%,41%,59%,49%,51%,11,17,15,10,1,2,8,4
14-15,26,Bayern München ,Bor. Mönchengladbach ,0,2,0,1,16,4,"120,48 km","127,87 km",823,379,750,290,73,89,91%,77%,68%,32%,42%,58%,15,9,9,14,1,5,4,2
14-15,27,Bayer 04 Leverkusen ,Hamburger SV ,4,0,2,0,25,4,"108,5 km","110,44 km",394,395,284,272,110,123,72%,69%,50%,50%,55%,45%,10,17,16,8,3,2,7,2
14-15,27,VfL Wolfsburg ,VfB Stuttgart ,3,1,1,1,23,13,"112,82 km","116,17 km",562,328,463,218,99,110,82%,66%,63%,37%,59%,41%,14,16,15,14,2,0,8,7
14-15,27,TSG Hoffenheim ,Bor. Mönchengladbach ,1,4,1,3,22,12,"117,76 km","118,3 km",424,680,337,580,87,100,79%,85%,39%,61%,49%,51%,14,9,9,14,3,0,5,3
14-15,27,Werder Bremen ,1. FSV Mainz 05 ,0,0,0,0,15,15,"113,3 km","111,97 km",390,409,252,290,138,119,65%,71%,49%,51%,51%,49%,23,16,16,23,0,7,3,2
14-15,27,Eintracht Frankfurt ,Hannover 96 ,2,2,1,0,14,15,"113,46 km","115,31 km",312,507,203,398,109,109,65%,79%,37%,63%,51%,49%,17,25,25,17,4,5,4,9
14-15,27,SC Freiburg ,1. FC Köln ,1,0,1,0,11,19,"122,58 km","117,28 km",390,476,275,373,115,103,71%,78%,45%,55%,49%,51%,8,16,15,7,2,2,5,7
14-15,27,Borussia Dortmund ,Bayern München ,0,1,0,1,15,6,"117,95 km","116,4 km",544,554,397,433,147,121,73%,78%,50%,50%,53%,47%,16,19,18,14,5,4,2,1
14-15,27,FC Augsburg ,FC Schalke 04 ,0,0,0,0,21,18,"108,95 km","107,01 km",298,392,208,285,90,107,70%,73%,44%,56%,47%,53%,22,23,23,21,1,0,4,4
14-15,27,Hertha BSC ,SC Paderborn 07 ,2,0,0,0,12,8,"117,38 km","117,89 km",456,424,359,333,97,91,79%,79%,52%,48%,51%,49%,18,19,18,17,0,0,3,2
14-15,28,Hannover 96 ,Hertha BSC ,1,1,0,0,11,9,"114,61 km","115,3 km",522,322,425,227,97,95,81%,70%,62%,38%,48%,52%,18,10,10,18,1,2,10,2
14-15,28,Bayern München ,Eintracht Frankfurt ,3,0,1,0,19,4,"110,95 km","112,45 km",731,425,659,343,72,82,90%,81%,63%,37%,56%,44%,14,18,17,12,3,2,3,0
14-15,28,FC Schalke 04 ,SC Freiburg ,0,0,0,0,21,10,"117,52 km","121,68 km",556,274,463,182,93,92,83%,66%,67%,33%,58%,42%,15,20,20,15,1,0,8,6
14-15,28,Bor. Mönchengladbach ,Borussia Dortmund ,3,1,2,0,12,18,"119,23 km","118,87 km",548,630,452,538,96,92,82%,85%,46%,54%,48%,52%,10,6,6,10,1,1,6,6
14-15,28,1. FSV Mainz 05 ,Bayer 04 Leverkusen ,2,3,0,1,8,9,"115,67 km","118,43 km",483,335,363,207,120,128,75%,62%,60%,40%,52%,48%,17,22,21,16,3,2,4,2
14-15,28,SC Paderborn 07 ,FC Augsburg ,2,1,0,0,14,16,"119,46 km","114,19 km",293,519,201,405,92,114,69%,78%,37%,63%,49%,51%,14,21,21,14,1,1,6,7
14-15,28,Hamburger SV ,VfL Wolfsburg ,0,2,0,1,5,15,"115,83 km","113,8 km",402,457,299,341,103,116,74%,75%,47%,53%,43%,57%,17,10,10,17,5,2,3,5
14-15,28,1. FC Köln ,TSG Hoffenheim ,3,2,1,0,18,24,"112,21 km","113,79 km",316,518,224,423,92,95,71%,82%,38%,62%,50%,50%,15,21,19,15,2,1,3,3
14-15,28,VfB Stuttgart ,Werder Bremen ,3,2,1,0,15,12,"111,66 km","113,31 km",344,418,225,303,119,115,65%,72%,46%,54%,50%,50%,13,14,13,13,1,4,9,3
